,Date,Close,Volume,Open,High,Low,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
108,1/25/2023,141.5,26622020,141.22,143.17,140.31,2.859999999999985,-0.28000000000000114,154.06571428571428,168.4,170.22857142857143,15.755470856332671,15.457322305533486
109,1/24/2023,143.14,21970190,141.69,145.0,141.36,3.6399999999999864,-1.4499999999999886,147.54714285714286,165.80785714285716,168.85238095238094,4.221977081436513,16.53679802886942
110,1/23/2023,143.27,27470090,139.29,143.76,138.66,5.099999999999994,-3.980000000000018,146.14000000000001,163.60214285714287,167.5261904761905,3.6589479362221455,17.438026687727756
111,1/20/2023,139.37,28688630,135.89,139.94,134.61,5.329999999999984,-3.480000000000018,144.76857142857142,160.84857142857143,165.96857142857144,4.183014975552701,18.44285723138212
112,1/19/2023,136.15,28625230,132.49,137.45,132.14,5.310000000000002,-3.6599999999999966,143.21,157.4714285714286,164.21952380952382,5.115512356221032,19.467815099848927
113,1/18/2023,133.02,20215490,135.81,137.25,132.8,4.449999999999989,2.789999999999992,140.53571428571428,153.28571428571428,162.34238095238095,4.796237612762504,20.508234420535093
114,1/17/2023,135.36,21147590,136.18,136.75,134.25,2.5,0.8199999999999932,138.83,149.66428571428574,160.35190476190476,4.055646269911697,21.02027440806798
115,1/13/2023,136.98,22423840,134.97,137.39,134.84,2.549999999999983,-2.009999999999991,138.18428571428572,146.125,158.32809523809524,3.9171539717091846,21.132189573976422
116,1/12/2023,136.71,30757730,133.44,137.68,131.76,5.920000000000016,-3.2700000000000102,137.2657142857143,142.40642857142856,156.29380952380953,3.260178201378483,21.055326755049574
117,1/11/2023,132.89,25423050,130.96,133.85,130.34,3.509999999999991,-1.9299999999999784,135.78285714285715,140.96142857142857,154.32904761904763,2.2904127305294883,21.2301252715951
118,1/10/2023,132.99,28684430,127.27,133.44,127.15,6.289999999999992,-5.720000000000013,134.87142857142857,139.82,152.18952380952382,1.8526326184725288,20.996496725928036
119,1/9/2023,129.47,26649150,131.16,132.95,129.28,3.6699999999999875,1.6899999999999977,133.91714285714286,138.56357142857144,149.62000000000003,2.6381667516486234,20.271427428772803
120,1/6/2023,130.02,27584500,128.97,130.33,126.04,4.290000000000006,-1.0500000000000114,133.48857142857142,137.01214285714286,146.68666666666667,3.0237031852285416,18.245659849217184
